"","res1_squared"
"1",0.217709013886962
"2",0.502758703361315
"3",0.840888483131304
"4",0.525325263414652
"5",0.309448538813055
"6",0.318758963250251
"7",0.243048403912662
"8",0.339198118860113
"9",0.326390107743263
"10",0.295911161167742
"11",0.351611617986864
"12",0.301153197630309
"13",0.429355500515856
"14",0.435734414434986
"15",0.863634587283545
"16",0.557991065106323
"17",0.130728021704788
"18",0.584837579576816
"19",0.215960800525476
"20",0.224501270134338
"21",0.165635159443871
"22",0.257603052011673
"23",0.647173045597045
"24",0.547269558286556
"25",0.394113078963912
"26",0.589598804588588
"27",0.24401970113104
"28",0.507681667585665
"29",0.250140193736686
"30",0.326714942377305
"31",0.754141980081693
"32",0.59275320196914
"33",0.487013314555674
"34",0.36805818004767
"35",0.479625278488438
"36",0.245136988341861
"37",0.295075659389086
"38",0.338161333502624
"39",0.441028873832876
"40",0.790758439754729
"41",0.452190332396428
"42",0.311502818502858
"43",0.188720923385836
"44",0.88041957751413
"45",0.531999971142234
"46",0.194558195844372
"47",0.356173050937173
"48",0.481408255680483
"49",0.330605376862484
"50",0.416169551684428
"51",0.208771185476543
"52",0.388574373412367
"53",0.416813260328435
"54",0.238923804139463
"55",0.294280249916584
"56",0.561806060605555
"57",0.13370548681977
"58",0.584601997199745
"59",0.456470886428676
"60",0.464973374087144
"61",0.54667571182784
"62",0.132758887003109
"63",0.198942628995951
"64",0.62107348673743
"65",0.57086203978866
"66",0.566333690207224
"67",0.459287105668716
"68",0.509589532798952
"69",0.308110360600675
"70",0.432316596903764
"71",0.456123984574684
"72",0.610896050031635
"73",0.273915719670596
"74",0.359044587150376
"75",0.493934805342367
"76",0.608409528690643
"77",0.352509640539888
"78",0.558243659346591
"79",0.456625330534765
"80",0.211759033903223
"81",0.66956672904365
"82",0.516208303962359
"83",0.527786943796447
"84",0.404984566519137
"85",0.531561036907736
"86",0.525318277237164
"87",0.359329959227245
"88",0.411745016540097
"89",0.268563943658221
"90",0.831860192463127
"91",0.384009498390609
"92",0.594033231237662
"93",0.859930541968132
"94",0.508496978740052
"95",0.267504279717566
"96",0.244631694425394
"97",0.486162963821852
"98",0.154151892605298
"99",0.496214422390004
"100",0.124766608523745
"101",0.205439097337045
"102",0.185865819405794
"103",0.277627385014545
"104",0.348437764914217
"105",0.452586125780212
"106",0.377023255875859
"107",0.884694937775403
"108",0.533820353444932
"109",0.149638369669192
"110",0.758648514598108
"111",0.915805292742936
"112",0.490658145181605
"113",0.179546651946086
"114",0.634875115354891
"115",0.504323072377918
"116",0.26277051513975
"117",0.196518523265378
"118",0.492365162077261
"119",0.777384397708252
"120",0.152167773705654
"121",0.595480007097975
"122",0.290322779371714
"123",0.495039148248756
"124",0.547372365689704
"125",0.841526681660245
"126",0.189785252645569
"127",0.455583644081603
"128",0.255371578994285
"129",0.470841032631635
"130",0.332514316981224
"131",0.551394192130026
"132",0.690101880546623
"133",0.216011011358273
"134",0.168480761893328
"135",0.1396442741651
"136",0.362367708162544
"137",0.609677551064119
"138",0.394653608010521
"139",0.619222877345695
"140",0.485195623873691
"141",0.44346999644783
"142",0.289551577208436
"143",0.34978374085014
"144",0.926573343429568
"145",0.40356066109954
"146",0.244783175800294
"147",0.447392551965103
"148",0.253482718331415
"149",0.463125082300466
"150",0.432446578156629
"151",0.318692837944227
"152",0.276020968636932
"153",0.302782491755762
"154",0.95623020663294
"155",0.645091459773068
"156",0.325561049601466
"157",0.596153798795227
"158",0.121060377539558
"159",0.625239075479405
"160",0.357701748701381
"161",0.365390028247604
"162",0.318780372517102
"163",0.24423323090789
"164",0.545761599663194
"165",0.540086201986711
"166",0.367452190452912
"167",0.142348276746288
"168",0.299033573566946
"169",0.427291744996066
"170",0.329982696729395
"171",0.387925984143119
"172",0.783404867162679
"173",0.332003809117884
"174",0.365324446451353
"175",0.555743485148348
"176",0.304788267910513
"177",0.377965963796449
"178",0.512464458415231
"179",0.276429790631576
"180",0.275251919046391
"181",0.37459252756706
"182",0.250757293659041
"183",0.303044844526603
"184",0.577103402186249
"185",0.280805882326565
"186",0.735067254749554
"187",0.291662585130878
"188",0.32796186315417
"189",0.765607190535177
"190",0.303730981781833
"191",0.248338353006117
"192",0.214809157739531
"193",0.750200209973712
"194",0.33911594760109
"195",0.330318610323004
"196",0.592070372192591
"197",0.256776663967055
"198",0.230393369478537
"199",0.287358906668996
"200",0.415844315588046
"201",0.727736830083325
"202",0.223739181938621
"203",0.24656936277072
"204",0.390239910682402
"205",0.232313346932298
"206",0.499456957956393
"207",0.197893427466533
"208",0.407764678893292
"209",0.910825159749541
"210",0.471115302749167
"211",0.93805661605845
"212",0.621071685911922
"213",0.498162516499344
"214",0.30299410573015
"215",0.311872567280722
"216",0.282771079894635
"217",0.385209603341995
"218",0.181648072338971
"219",0.30252880359615
"220",0.49996308009229
"221",0.814894448325444
"222",0.8450558430037
"223",0.465135992545819
"224",0.692556870931898
"225",0.355457582783957
"226",0.468201493417969
"227",0.211895621286516
"228",0.438310139229506
"229",0.372638649885108
"230",0.196487602805653
"231",0.162554016260804
"232",0.307626183314892
"233",0.480210046344699
"234",0.535274310605846
"235",0.256831839800591
"236",0.333859324920315
"237",0.534846658914164
"238",0.530650053471344
"239",0.724659059404819
"240",0.191460449192727
"241",0.215560141043122
"242",0.389251585863962
"243",0.164432824698011
"244",0.897624269785605
"245",0.429968054774942
"246",0.248989563443726
"247",0.143282963562787
"248",0.447287234799849
"249",0.189318696603607
"250",0.63844155059147
"251",0.474649560202377
"252",0.565300324566806
"253",0.285851674033784
"254",0.328440661058853
"255",0.237658152638329
"256",0.576472504901223
"257",0.815070694199976
"258",0.130070929794353
"259",0.496787526554084
"260",0.52296739929775
"261",0.560414684693832
"262",0.241553781018645
"263",0.327846239942143
"264",0.306881574770237
"265",0.355610237474067
"266",0.359538015122067
"267",0.340055293302816
"268",0.246695120719288
"269",0.267889118180535
"270",0.859033476042024
"271",0.161428422575804
"272",0.438110077807725
"273",0.644259035331632
"274",0.860601648485681
"275",0.640128316970807
"276",0.274535108481936
"277",0.151874340657909
"278",0.51766700671684
"279",0.18693944894979
"280",0.434446904432897
"281",0.415574458234876
"282",0.304958842712308
"283",0.308484595065078
"284",0.461003077983959
"285",0.31700113965995
"286",0.238225139708364
"287",0.494195052521177
"288",0.37923150839536
"289",0.297212895201875
